Year,Alum Band ID,Frequency,Nest Attempt,Bird Capture Site,NestID,FlagLat,FlagLong,FlagBear,NestLat,NestLong,Nest Description,Clutch Size,Date Counted,FloatA,FloatB,FloatC,FloatD,FloatAverage,Est.Laying.Initiation,EstimatedHatch,Fate,Comments
2018,286,149.315,2,Horesback,286-2018-2,,,,44.936737,-68.390724,Small clump of trees in blueberry field next to gravel road.,NA,NA,NA,NA,NA,NA,NA,6/16/2018,7/24/2018,0,
2018,280,149.141,3,Exeter,280-2018-3,,,,45.00198,-69.06388,,NA,NA,NA,NA,NA,NA,NA,6/23/2018,7/29/2018,0,
2019,445,150.513,1,Davis Oil,445-2019-1,44.84337,-68.74265,29,44.84362,-68.74277,In clump iof grass off of stillwater rd. between walmart and target,13,5/23/2019,16,16,16,,16,4/24/2019,6/3/2019,0,"All eggs hatched, hen nearby"
2019,381,149.383,1,Gray Fire Department,381-2019-1,43.88103,-70.349691,350,43.8815,-70.34989,In hammock (size of nest) in patch of cattails at the end of a field. 50 yards from busy route 26,13,5/16/2019,4-6,7-9,4-6,7-9,7,4/27/2019,6/5/2019,0,No uinhatched eggs left. Shells of hatched eggs but not all accoutned for. at least 6 hatched shells
2019,372,149.483,1,Rust Farm,372-2019-1,43.70875,-70.483068,56,43.76889,-70.482856,"In right of way (powerline). Nest in patch of tall, hollow stemmed veg. no overhead cover",9,5/15/2019,4-6,4-6,4-6,7-9,6,5/1/2019,6/5/2019,1,"Eggs gone from nest, on second visit (5-24-19). did not check day after flushing"
2019,444,149.127,1,Davis Oil,444-2019-1,,,,44.845785,-68.748277,,NA,NA,NA,NA,NA,NA,NA,4/29/2019,6/5/2019,1,
2019,752,149.364,1,Davis Oil,752-2019-1,44.84675,-68.74849,207,44.84609,-68.749,Under flattened tall grass,14,5/23/2019,16,8-11,8-11,,12,4/27/2019,6/7/2019,0,7 hatched eggs in bowl
2019,450,150.413,1,Davis Oil,450-2019-1,45.02973,-68.61906,120,45.02968,-68.6185,On a mound covered by a fir branch,12,5/17/2019,4-8,4-8,4-8,4-8,6,5/1/2019,6/7/2019,1,"Nest predated, evidence of a large struggle, hen still alive"
2019,754,149.803,1,Davis Oil,754-2019-1,44.84625,-68.75013,350,44.84661,-68.75032,Under clump of tall grass. Saw hen about 10m from tanks,13,5/23/2019,8-11,16,6-8,,11,4/29/2019,6/8/2019,0,"2 unhatched eggs, hen dead in field nearby, killed off nest?"
2019,911,150.782,1,Monroe (Cunningham),911-2019-1,44.577664,-68.997677,45,44.577713,-68.997581,"nest bowl on small 2' rise of a mound. sorrounded by briad, leafy shrub. in middle of powerline right of way",15,5/23/2019,10-12,10-12,10-12,10-12,11,4/28/2019,6/8/2019,1,eggs predated
